标题,楼盘,地址,户型,面积,楼层,年代,价格
万科物业自营 南坪六公里金域翰林 三号线精装正三房带家具电器,万科金域学府翰林菁华里,南岸学府大道二塘路59号,3室2厅1卫,89.9㎡,低层(共27层),2019年建造,16465元/㎡
黄泥磅 两代一家 正规三房双卫 业主自住房 拎包入住,两代一家,渝北渝北黄泥磅紫荆路29号,3室2厅2卫,94.5㎡,低层(共28层),2008年建造,14815元/㎡
鸳鸯16年次新小区 大雅云居山刚需经典3房户型 随时看房诚售,大雅云居山,渝北鸳鸯龙展路59号,3室2厅1卫,88㎡,低层(共24层),2016年建造,16487元/㎡
中交中央公园 横厅精装大两房 出门都是公园,中交中央公园悦颂,渝北中央公园翠丹路4号,2室2厅1卫,91㎡,低层(共25层),2016年建造,20660元/㎡
富力现代广场 豪装大两房 户型方正 看房方便,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共30层),2012年建造,16969元/㎡
简奢风格，富力现代广场，正规大2房，住家安静，带，随时看,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共33层),2009年建造,16969元/㎡
6219 鲁能星城一街区 住家装修两房 随时看房,鲁能星城一街区,渝北龙头寺新溉大道400号,2室2厅1卫,83.6㎡,低层(共30层),2005年建造,17950元/㎡
好房急售 北京知名团队设计装修 装修保证 可实地看房,富力现代广场,南岸弹子石弹子石新街59号,2室2厅1卫,85.5㎡,低层(共33层),2010年建造,16969元/㎡
锦江华府少有两房  精装出售拎包入住,锦江华府,南岸弹子石腾龙大道50号,2室2厅1卫,82.9㎡,低层(共32层),2014年建造,17138元/㎡
照母山看湖3房小区免费停车性价比高的，随时看房子,恒大照母山山水城,渝北照母山恒康路9号,3室2厅1卫,91㎡,低层(共32层),2016年建造,16484元/㎡
（新上！）融创高层！业主诚心！错过再无！,融创凡尔赛领馆(4期),渝北照母山星融路9号,3室2厅2卫,99㎡,低层(共33层),2016年建造,15657元/㎡
挥泪大甩卖 照母山 恒大精装三房 两房价格买三房,恒大照母山山水城,渝北照母山恒康路9号,3室2厅1卫,90.2㎡,低层(共32层),2016年建造,16085元/㎡
蓝湖郡旁 公园1号 精装3房 小区绿化好 环境安静 业主诚卖,公园1号(渝北),渝北鸳鸯金开大道100号,3室2厅2卫,82.8㎡,低层(共31层),2015年建造,17506元/㎡
二郎轻轨站旁边 龙湖时代天街旁 精装三房带露台 业主安心卖,弘悦101,九龙坡二郎火炬大道100号,3室2厅1卫,86.8㎡,低层(共33层),2018年建造,16707元/㎡
