楼盘名称,地址,单价,面积,数据来源
万科金域学府翰林菁华里,南岸学府大道二塘路59号,16465.0,89.9,安居客
两代一家,渝北渝北黄泥磅紫荆路29号,14815.0,94.5,安居客
大雅云居山,渝北鸳鸯龙展路59号,16487.0,88.0,安居客
中交中央公园悦颂,渝北中央公园翠丹路4号,20660.0,91.0,安居客
富力现代广场,南岸弹子石弹子石新街59号,16969.0,85.5,安居客
鲁能星城一街区,渝北龙头寺新溉大道400号,17950.0,83.6,安居客
锦江华府,南岸弹子石腾龙大道50号,17138.0,82.9,安居客
恒大照母山山水城,渝北照母山恒康路9号,16484.0,91.0,安居客
融创凡尔赛领馆(4期),渝北照母山星融路9号,15657.0,99.0,安居客
公园1号(渝北),渝北鸳鸯金开大道100号,17506.0,82.8,安居客
弘悦101,九龙坡二郎火炬大道100号,16707.0,86.8,安居客
协信城,"南岸南坪江南大道26号,南城大道1号",16483.0,86.2,安居客
首地江山赋,渝北悦来悦山路5号,15799.0,91.8,安居客
国际社区观园(1期),南岸弹子石腾龙大道,16667.0,90.0,安居客
龙湖源著(南区),江北南桥寺福泉路26号,23295.0,85.0,安居客
富悦麓山别苑,渝北空港新城桂馥大道6号,17675.0,86.0,安居客
保利香雪,江北南桥寺盘溪路150号,18680.0,99.0,安居客
鲁能泰山7号六街区,渝北中央公园公园西路,19271.0,96.0,安居客
万达文化旅游城御林组团,沙坪坝土主西桂路12号,16112.0,90.0,安居客
汇祥林里3000(四期),渝北空港新城兰桂大道6号,17422.0,80.4,安居客
东原锦悦,南岸南坪南坪东路二巷2号,15870.0,92.0,安居客
绿地海外滩,江北鸿恩寺鸿恩路388号,16917.0,93.4,安居客
申佳上海时光,渝北回兴银梭大道1号,15333.0,92.0,安居客
北城国际中心,渝北龙溪龙华大道50号,16824.0,85.0,安居客
北大资源博雅(4期),渝北照母山湖霞街17号,20822.0,95.0,安居客
东原星樾,渝北照母山星光大道201号,17566.0,82.6,安居客
金悦锦城,沙坪坝磁器口金磁路4号,15919.0,98.0,安居客
金辉优步大道,九龙坡石桥铺朝阳路227号,16022.0,93.0,安居客
华润凯旋天地,南岸弹子石腾龙大道45号,15886.0,91.3,安居客
成都城投锦樾峰境,九龙坡石桥铺石美路15号,19566.0,92.0,安居客
珊瑚水岸(一期),南岸南滨路南滨路28号,18605.0,96.8,安居客
恒大世纪城,渝北照母山湖红路56号,16558.0,85.2,安居客
保利高尔夫豪园,渝北汽博中心湖云街12号,17648.0,88.4,安居客
元合悠哉悠宅,"江北南桥寺武江西路,近内环高速",15561.0,90.0,安居客
富力城天禧,沙坪坝大学城大学城南路11号,14286.0,98.0,安居客
恒大中央广场(一期),江北江北嘴天澜大道49号,21409.0,84.1,安居客
奥园盘龙壹号巴黎苑,九龙坡盘龙盘金路1号,16208.0,86.4,安居客
江与城江城时光,渝北大竹林绿竹路66号,18952.0,95.0,安居客
两江春城和风苑,渝北冉家坝天竺路373号,19579.0,99.6,安居客
融创嘉德领馆(一期),"渝北中央公园春华大道89号,兰桂大道168号",22942.0,85.0,安居客
首钢美利山公园城市,渝北鸳鸯翠渝路55号,16723.0,84.3,安居客
金茂珑悦(北区),九龙坡谢家湾袁家岗158号,15098.0,96.0,安居客
万科金色悦城(1期),沙坪坝凤天路凤鸣山300号,16182.0,94.6,安居客
华侨城天际湾A区,渝北礼嘉悦华路9号,20880.0,91.0,安居客
渝富滨江首岸,沙坪坝石井坡团结坝432号,16098.0,92.6,安居客
东原1891,南岸南滨路南滨路80号,17976.0,86.2,安居客
金科中央御院(一期),南岸茶园新区永宁路19号,15472.0,98.9,安居客
曦圆青岗湾(二期),巴南李家沱巴南大道68号,16375.0,89.0,安居客
中国铁建万国城68号,南岸茶园新区梨花大道570号,14889.0,97.4,安居客
国盛园墅(A区),沙坪坝西永西尊路188号,16471.0,85.0,安居客
荣盛鹿山府,"渝北中央公园金州大道,近万康路",14949.0,97.0,安居客
隆鑫爱琴海(1期),北碚蔡家同华路78号,14964.0,93.6,安居客
珠江城(A区),巴南融汇龙汇路1488号,15777.0,98.3,安居客
千威先生的洋房,渝北空港观月大道77号,14510.0,96.5,安居客
奥园越时代(C区),南岸刘家坪创智路265号,14643.0,98.0,安居客
康田蔚蓝海(A区),渝北照母山康景路168号,17402.0,85.1,安居客
金科城59区,北碚蔡家长平路66号,17284.0,81.0,安居客
龙湖U城8组团,沙坪坝大学城大学城北路99号,17318.0,82.0,安居客
保利金香槟(三区),九龙坡华岩新城华美二路9号,14376.0,97.4,安居客
中山三路172号小区,渝中上清寺中山三路172号,18519.0,81.0,安居客
美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",16855.0,86.0,安居客
龙脊金山名都,渝北汽博中心金渝大道83号,16710.0,88.6,安居客
协信城立方玺院,沙坪坝大学城大学城南二路,14614.0,95.8,安居客
鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,17248.0,86.4,安居客
金科10年城东区,江北石马河盘溪路480号,15955.0,97.2,安居客
金科城37区,北碚蔡家嘉景大道6号,16826.0,89.2,安居客
子龙公寓,九龙坡谢家湾谢家湾正街94号,15264.0,95.0,安居客
鲁能泰山7号十三街区,渝北中央公园嘉业路3号,17652.0,89.5,安居客
香港置地衿湖翠林,"渝北中央公园公园西路,公园东路",15645.0,90.0,安居客
法蓝西莊邸枫丹里,南岸茶园新区雷家桥支路2号,17470.0,83.0,安居客
国瑞爱与山(C区),大渡口双山山海路133号,17349.0,80.7,安居客
协信春山台,渝北人和吉兴路9号,18711.0,80.2,安居客
佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",16405.0,89.0,安居客
半山七号,九龙坡石桥铺经纬大道1099号,16352.0,94.8,安居客
两江名苑伯克林,渝北照母山龙健路6号,17585.0,85.3,安居客
金科美辰,巴南鹿角华林路1118号,16099.0,95.0,安居客
越昕晖,巴南融汇西流沱三村99号,14383.0,97.3,安居客
银翔后住,南岸茶园新区广福大道17号,16258.0,89.2,安居客
协信城立方揽院,沙坪坝大学城大学城中路6号,15252.0,98.4,安居客
隆鑫花漾湖,九龙坡二郎兰美路988号,16083.0,94.5,安居客
保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",14677.0,98.8,安居客
华润公园九里,渝北中央公园玉谷路23号,15774.0,97.0,安居客
康田紫悦府,沙坪坝大学城思贤路46号,15872.0,94.5,安居客
幸福时光里,南岸茶园新区通江大道101号,14865.0,97.6,安居客
鲁能泰山7号十八街区,"渝北中央公园兰桂大道,近金山大道",16280.0,86.0,安居客
弘阳昕悦棠,渝北两路桂馥大道25号,17648.0,85.0,安居客
晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",16667.0,90.0,安居客
沿海赛洛城(A区),北碚城南新区冯时行路800号,14889.0,94.0,安居客
凤天锦园,沙坪坝凤天路凤天大道97号,15852.0,94.0,安居客
