楼盘,地址,价格
万科金域学府翰林菁华里,南岸学府大道二塘路59号,16465元/㎡
两代一家,渝北渝北黄泥磅紫荆路29号,14815元/㎡
大雅云居山,渝北鸳鸯龙展路59号,16487元/㎡
中交中央公园悦颂,渝北中央公园翠丹路4号,20660元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
鲁能星城一街区,渝北龙头寺新溉大道400号,17950元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
锦江华府,南岸弹子石腾龙大道50号,17138元/㎡
恒大照母山山水城,渝北照母山恒康路9号,16484元/㎡
融创凡尔赛领馆(4期),渝北照母山星融路9号,15657元/㎡
恒大照母山山水城,渝北照母山恒康路9号,16085元/㎡
公园1号(渝北),渝北鸳鸯金开大道100号,17506元/㎡
弘悦101,九龙坡二郎火炬大道100号,16707元/㎡
协信城,"南岸南坪江南大道26号,南城大道1号",16483元/㎡
首地江山赋,渝北悦来悦山路5号,15799元/㎡
国际社区观园(1期),南岸弹子石腾龙大道,16667元/㎡
龙湖源著(南区),江北南桥寺福泉路26号,23295元/㎡
富悦麓山别苑,渝北空港新城桂馥大道6号,17675元/㎡
保利香雪,江北南桥寺盘溪路150号,18680元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
鲁能泰山7号六街区,渝北中央公园公园西路,19271元/㎡
万达文化旅游城御林组团,沙坪坝土主西桂路12号,16112元/㎡
汇祥林里3000(四期),渝北空港新城兰桂大道6号,17422元/㎡
东原锦悦,南岸南坪南坪东路二巷2号,15870元/㎡
绿地海外滩,江北鸿恩寺鸿恩路388号,16917元/㎡
申佳上海时光,渝北回兴银梭大道1号,15333元/㎡
万达文化旅游城御林组团,沙坪坝土主西桂路12号,16112元/㎡
万达文化旅游城御林组团,沙坪坝土主西桂路12号,16112元/㎡
北城国际中心,渝北龙溪龙华大道50号,16824元/㎡
恒大照母山山水城,渝北照母山恒康路9号,16418元/㎡
北大资源博雅(4期),渝北照母山湖霞街17号,20822元/㎡
东原星樾,渝北照母山星光大道201号,17566元/㎡
金悦锦城,沙坪坝磁器口金磁路4号,15919元/㎡
金辉优步大道,九龙坡石桥铺朝阳路227号,16022元/㎡
融创凡尔赛领馆(4期),渝北照母山星融路9号,16706元/㎡
北大资源博雅(4期),渝北照母山湖霞街17号,21364元/㎡
华润凯旋天地,南岸弹子石腾龙大道45号,15886元/㎡
成都城投锦樾峰境,九龙坡石桥铺石美路15号,19566元/㎡
珊瑚水岸(一期),南岸南滨路南滨路28号,18605元/㎡
恒大世纪城,渝北照母山湖红路56号,16558元/㎡
保利高尔夫豪园,渝北汽博中心湖云街12号,17648元/㎡
元合悠哉悠宅,"江北南桥寺武江西路,近内环高速",15561元/㎡
富力城天禧,沙坪坝大学城大学城南路11号,14286元/㎡
恒大中央广场(一期),江北江北嘴天澜大道49号,21409元/㎡
奥园盘龙壹号巴黎苑,九龙坡盘龙盘金路1号,16208元/㎡
江与城江城时光,渝北大竹林绿竹路66号,18952元/㎡
两江春城和风苑,渝北冉家坝天竺路373号,19579元/㎡
汇祥林里3000(四期),渝北空港新城兰桂大道6号,19100元/㎡
融创嘉德领馆(一期),"渝北中央公园春华大道89号,兰桂大道168号",22942元/㎡
万达文化旅游城御林组团,沙坪坝土主西桂路12号,16112元/㎡
首地江山赋,渝北悦来悦山路5号,15799元/㎡
龙湖源著(南区),江北南桥寺福泉路26号,23295元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
华润凯旋天地,南岸弹子石腾龙大道45号,15886元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
华润凯旋天地,南岸弹子石腾龙大道45号,15886元/㎡
富力现代广场,南岸弹子石弹子石新街59号,16969元/㎡
华润凯旋天地,南岸弹子石腾龙大道45号,15886元/㎡
华润凯旋天地,南岸弹子石腾龙大道45号,15886元/㎡
万科金域学府翰林菁华里,南岸学府大道二塘路59号,16914元/㎡
首钢美利山公园城市,渝北鸳鸯翠渝路55号,16723元/㎡
富力城天禧,沙坪坝大学城大学城南路11号,14286元/㎡
金茂珑悦(北区),九龙坡谢家湾袁家岗158号,15098元/㎡
万科金色悦城(1期),沙坪坝凤天路凤鸣山300号,16182元/㎡
恒大世纪城,渝北照母山湖红路56号,19788元/㎡
华侨城天际湾A区,渝北礼嘉悦华路9号,20880元/㎡
渝富滨江首岸,沙坪坝石井坡团结坝432号,16098元/㎡
东原1891,南岸南滨路南滨路80号,17976元/㎡
东原1891,南岸南滨路南滨路80号,17976元/㎡
金科中央御院(一期),南岸茶园新区永宁路19号,15472元/㎡
曦圆青岗湾(二期),巴南李家沱巴南大道68号,16375元/㎡
中国铁建万国城68号,南岸茶园新区梨花大道570号,14889元/㎡
国盛园墅(A区),沙坪坝西永西尊路188号,16471元/㎡
荣盛鹿山府,"渝北中央公园金州大道,近万康路",14949元/㎡
中国铁建万国城68号,南岸茶园新区梨花大道570号,14889元/㎡
隆鑫爱琴海(1期),北碚蔡家同华路78号,14964元/㎡
珠江城(A区),巴南融汇龙汇路1488号,15777元/㎡
千威先生的洋房,渝北空港观月大道77号,14510元/㎡
奥园越时代(C区),南岸刘家坪创智路265号,14643元/㎡
隆鑫爱琴海(1期),北碚蔡家同华路78号,14964元/㎡
康田蔚蓝海(A区),渝北照母山康景路168号,17402元/㎡
金科城59区,北碚蔡家长平路66号,17284元/㎡
奥园越时代(C区),南岸刘家坪创智路265号,17262元/㎡
龙湖U城8组团,沙坪坝大学城大学城北路99号,17318元/㎡
保利金香槟(三区),九龙坡华岩新城华美二路9号,14376元/㎡
中山三路172号小区,渝中上清寺中山三路172号,18519元/㎡
美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",16855元/㎡
中国铁建万国城68号,南岸茶园新区梨花大道570号,14889元/㎡
龙脊金山名都,渝北汽博中心金渝大道83号,16710元/㎡
协信城立方玺院,沙坪坝大学城大学城南二路,14614元/㎡
协信城立方玺院,沙坪坝大学城大学城南二路,14823元/㎡
隆鑫爱琴海(1期),北碚蔡家同华路78号,14964元/㎡
千威先生的洋房,渝北空港观月大道77号,14247元/㎡
鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,17248元/㎡
金科10年城东区,江北石马河盘溪路480号,15955元/㎡
千威先生的洋房,渝北空港观月大道77号,14247元/㎡
金科城59区,北碚蔡家长平路66号,16146元/㎡
中国铁建万国城68号,南岸茶园新区梨花大道570号,14684元/㎡
金科城59区,北碚蔡家长平路66号,15273元/㎡
金科城37区,北碚蔡家嘉景大道6号,16826元/㎡
